"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 11 00:45:48 ART 2024","Thu Apr 11 00:45:58 ART 2024","9868","","Admin in merchant user registration flow","","","","""before each"" hook for Admin in merchant user registration flow",""
"passed","Tue Mar 19 14:46:42 ART 2024","Tue Mar 19 14:46:50 ART 2024","8300","","","","","","assert Credit Accountholder is rejected by Alloy due to exceeding Credit Limit",""
"passed","Tue May 21 19:05:12 ART 2024","Tue May 21 19:05:43 ART 2024","30190","","Test the Pending Purchase Screen as a Credit Applicant - Rewards type = points","","","","assert pending purchase as Applicant - Merchant with NAI Disabled - No campaigns",""
"skipped","Tue May 28 12:42:38 ART 2024","Tue May 28 12:42:38 ART 2024","0","","Test the Heidi Daus's PDP Tandym ""Save & earn on your first purchase"" modal","","","","should assert modal logo is correct and visible",""
"passed","Tue May 28 13:48:00 ART 2024","Tue May 28 13:48:04 ART 2024","3791","","Test the update of the orderId used by Shopify and custom works","","","","assert the orderId value is updated successfully",""
"passed","Tue May 21 19:01:18 ART 2024","Tue May 21 19:01:25 ART 2024","6854","","Test Registration of Accountholders","","","","""before each"" hook for Test Registration of Accountholders",""
"passed","Thu Apr 11 11:59:00 ART 2024","Thu Apr 11 11:59:03 ART 2024","2930","","Admin Login Suite","","","","Verify user cannot login with empty fields and proper alerts display",""
"passed","Tue May 21 18:50:10 ART 2024","Tue May 21 18:50:20 ART 2024","9266","","Admin Login Suite","","","","Verify admin can successfully login",""
"passed","Tue May 21 19:19:05 ART 2024","Tue May 21 19:19:26 ART 2024","21203","","Test the Standalone You're Approved screen as a Credit Applicant","","","","assert You're approved screen as Credit Applicant - Merchant with NAI Instant Discount Fixed",""
"passed","Thu Apr 11 01:13:22 ART 2024","Thu Apr 11 01:13:24 ART 2024","1898","","Test Woocommerce Post To SDK functionality","","","","""before each"" hook for Test Woocommerce Post To SDK functionality",""
